season,round,lap,position,driverId,time
2022,1,1,1,leclerc,1:39.070
2022,1,1,2,max_verstappen,1:40.236
2022,1,1,3,sainz,1:41.006
2022,1,1,4,hamilton,1:41.555
2022,1,1,5,kevin_magnussen,1:42.333
2022,1,1,6,perez,1:42.993
2022,1,1,7,russell,1:43.445
2022,1,1,8,gasly,1:44.270
2022,1,1,9,alonso,1:45.174
2022,1,1,10,ocon,1:46.170
2022,1,1,11,albon,1:47.636
2022,1,1,12,tsunoda,1:48.128
2022,1,1,13,mick_schumacher,1:48.826
2022,1,1,14,bottas,1:49.195
2022,1,1,15,hulkenberg,1:49.698
2022,1,1,16,norris,1:50.088
2022,1,1,17,stroll,1:50.439
2022,1,1,18,latifi,1:51.134
2022,1,1,19,zhou,1:51.374
2022,1,1,20,ricciardo,1:51.601
2022,1,2,1,leclerc,1:37.853
2022,1,2,2,max_verstappen,1:37.880
2022,1,2,3,sainz,1:38.649
2022,1,2,4,hamilton,1:39.002
2022,1,2,5,kevin_magnussen,1:38.993
2022,1,2,6,perez,1:39.092
2022,1,2,7,russell,1:39.694
2022,1,2,8,gasly,1:40.169
2022,1,2,9,alonso,1:40.412
2022,1,2,10,ocon,1:40.111
2022,1,2,11,albon,1:40.548
2022,1,2,12,tsunoda,1:40.697
2022,1,2,13,mick_schumacher,1:40.722
2022,1,2,14,bottas,1:40.817
2022,1,2,15,hulkenberg,1:41.077
2022,1,2,16,stroll,1:41.019
2022,1,2,17,norris,1:42.279
2022,1,2,18,zhou,1:41.229
2022,1,2,19,latifi,1:42.298
2022,1,2,20,ricciardo,1:42.590
2022,1,3,1,leclerc,1:38.272
2022,1,3,2,max_verstappen,1:38.357
2022,1,3,3,sainz,1:39.049
2022,1,3,4,hamilton,1:39.075
2022,1,3,5,perez,1:39.473
2022,1,3,6,kevin_magnussen,1:41.224
2022,1,3,7,russell,1:39.725
2022,1,3,8,gasly,1:39.968
2022,1,3,9,alonso,1:40.226
2022,1,3,10,ocon,1:40.248
2022,1,3,11,albon,1:40.664
2022,1,3,12,tsunoda,1:40.618
2022,1,3,13,mick_schumacher,1:40.747
2022,1,3,14,bottas,1:40.732
2022,1,3,15,hulkenberg,1:40.638
2022,1,3,16,stroll,1:40.887
2022,1,3,17,zhou,1:40.183
2022,1,3,18,norris,1:41.785
2022,1,3,19,latifi,1:41.668
2022,1,3,20,ricciardo,1:41.711
2022,1,4,1,leclerc,1:38.414
2022,1,4,2,max_verstappen,1:38.566
2022,1,4,3,sainz,1:38.923
2022,1,4,4,hamilton,1:38.892
2022,1,4,5,perez,1:38.741
2022,1,4,6,kevin_magnussen,1:39.642
2022,1,4,7,russell,1:39.772
2022,1,4,8,gasly,1:40.158
2022,1,4,9,alonso,1:40.097
2022,1,4,10,ocon,1:40.209
2022,1,4,11,albon,1:41.126
2022,1,4,12,tsunoda,1:40.958
2022,1,4,13,mick_schumacher,1:41.163
2022,1,4,14,bottas,1:41.127
2022,1,4,15,hulkenberg,1:41.189
2022,1,4,16,zhou,1:40.393
2022,1,4,17,stroll,1:41.931
2022,1,4,18,norris,1:41.459
2022,1,4,19,latifi,1:41.947
2022,1,4,20,ricciardo,1:41.803
2022,1,5,1,leclerc,1:38.471
2022,1,5,2,max_verstappen,1:38.877
2022,1,5,3,sainz,1:39.101
2022,1,5,4,hamilton,1:38.923
2022,1,5,5,perez,1:38.861
2022,1,5,6,russell,1:39.041
2022,1,5,7,kevin_magnussen,1:41.169
2022,1,5,8,gasly,1:40.249
2022,1,5,9,alonso,1:40.465
2022,1,5,10,ocon,1:40.483
2022,1,5,11,tsunoda,1:40.363
2022,1,5,12,albon,1:42.303
2022,1,5,13,mick_schumacher,1:42.049
2022,1,5,14,bottas,1:41.817
2022,1,5,15,zhou,1:41.574
2022,1,5,16,hulkenberg,1:42.490
2022,1,5,17,stroll,1:41.715
2022,1,5,18,norris,1:41.713
2022,1,5,19,latifi,1:41.678
2022,1,5,20,ricciardo,1:41.818
2022,1,6,1,leclerc,1:38.712
2022,1,6,2,max_verstappen,1:38.940
